Year,RoundNumber,EventName,Driver,current_lap,total_laps,stint_number,compound,stint_length,pace_delta_3lap,pace_delta_5lap,Position,gap_ahead,gap_behind,pit_stop_count,safety_car_active,track_temp,rain,label
2019,1,Australian Grand Prix,ALB,7.0,58.0,1.0,0,7.0,-0.1153333333333345,-0.1281999999999982,11.0,0.1959999999999979,0.0679999999999978,0,False,41.31311475409837,False,1
2019,1,Australian Grand Prix,ALB,8.0,58.0,1.0,0,8.0,-0.0030000000000001,-0.0963999999999998,11.0,0.2249999999999943,0.2000000000000028,0,False,41.31311475409837,False,1
2019,1,Australian Grand Prix,ALB,9.0,58.0,1.0,0,9.0,-0.1863333333333325,-0.1012,11.0,0.2510000000000048,0.1430000000000006,0,False,41.31311475409837,False,1
2019,1,Australian Grand Prix,ALB,10.0,58.0,1.0,0,10.0,-0.0286666666666661,0.0210000000000007,11.0,0.2019999999999981,0.0440000000000111,0,False,41.31311475409837,False,1
2019,1,Australian Grand Prix,ALB,11.0,58.0,1.0,0,11.0,0.1063333333333342,-0.0560000000000002,11.0,0.3810000000000002,0.3440000000000083,0,False,41.31311475409837,False,1
2019,1,Australian Grand Prix,ALB,12.0,58.0,1.0,0,12.0,0.0833333333333333,0.0180000000000006,10.0,-0.25,0.0620000000000118,0,False,41.31311475409837,False,1
2019,1,Australian Grand Prix,ALB,13.0,58.0,1.0,0,13.0,-0.0690000000000026,-0.0186000000000007,9.0,0.4230000000000018,0.0260000000000104,0,False,41.31311475409837,False,1
2019,1,Australian Grand Prix,ALB,16.0,58.0,2.0,1,2.0,0.0263333333333311,0.0715999999999979,15.0,1.2449999999999903,1.597999999999999,1,False,41.31311475409837,False,0
2019,1,Australian Grand Prix,ALB,17.0,58.0,2.0,1,3.0,-0.4706666666666687,-0.2472000000000008,15.0,1.2909999999999968,0.4620000000000033,1,False,41.31311475409837,False,0
2019,1,Australian Grand Prix,ALB,18.0,58.0,2.0,1,4.0,-0.3259999999999981,-0.2780000000000001,15.0,0.644999999999996,0.0030000000000001,1,False,41.31311475409837,False,0
2019,1,Australian Grand Prix,ALB,19.0,58.0,2.0,1,5.0,-0.4556666666666634,-0.2518000000000001,15.0,0.1970000000000027,0.0289999999999963,1,False,41.31311475409837,False,0
2019,1,Australian Grand Prix,ALB,20.0,58.0,2.0,1,6.0,0.0946666666666686,-0.148999999999998,15.0,-0.625,0.0170000000000101,1,False,41.31311475409837,False,0
2019,1,Australian Grand Prix,ALB,21.0,58.0,2.0,1,7.0,0.1306666666666653,-0.2153999999999996,15.0,-0.6129999999999995,0.7150000000000034,1,False,41.31311475409837,False,0
2019,1,Australian Grand Prix,ALB,22.0,58.0,2.0,1,8.0,0.1533333333333312,0.1225999999999999,15.0,-0.6710000000000065,0.1880000000000024,1,False,41.31311475409837,False,0
2019,1,Australian Grand Prix,ALB,23.0,58.0,2.0,1,9.0,0.3009999999999972,0.2271999999999991,15.0,-0.1560000000000059,0.1809999999999973,1,False,41.31311475409837,False,0
2019,1,Australian Grand Prix,ALB,24.0,58.0,2.0,1,10.0,0.0046666666666652,0.0607999999999975,15.0,-0.5450000000000017,0.1540000000000105,1,False,41.31311475409837,False,0
